Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
SUIUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-4.02563582679999,7,85.71428571428571,True,16,38,1.8,65,20,0.05,0.2,2,4,3
SUIUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.40505181159999903,2,50.0,True,10,36,2.0,75,30,0.2,0.15,9,4,1
SUIUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,-0.6224229039999751,3,33.33333333333333,True,14,24,1.5,65,35,0.1,0.15,2,5,5
SUIUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,2.3575074336000146,1,100.0,True,26,32,1.8,60,35,0.1,0.3,2,4,3
SUIUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,7.126753293600041,4,100.0,True,16,30,1.8,65,35,0.08,0.2,3,4,4
SUIUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,3.1346476096000053,5,60.0,True,10,34,1.8,70,35,0.08,0.3,5,5,1
SUIUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.40951560960000855,1,100.0,True,10,32,1.8,75,25,0.05,0.25,13,4,5
SUIUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,8.123293611999994,5,100.0,True,10,34,1.5,70,35,0.05,0.25,6,4,2
SUIUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,12,38,1.8,70,35,0.1,0.3,6,4,3
SUIUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,True,10,38,1.5,65,35,0.1,0.2,4,5,4
SUIUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,True,8,38,1.5,60,20,0.1,0.2,2,4,2
SUIUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,True,18,32,1.5,60,25,0.2,0.15,6,5,5
