Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
EOSUSDT,30min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.7284142760000112,3,66.66666666666666,True,14,26,1.5,75,30,0.05,0.2,2,4,1
EOSUSDT,30min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,True,20,24,2.0,80,30,0.2,0.25,2,4,5
EOSUSDT,30min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,8,22,1.8,60,35,0.12,0.25,2,4,1
EOSUSDT,30min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,1.001209391999991,1,100.0,True,10,34,1.5,80,25,0.08,0.2,5,4,2
EOSUSDT,30min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,9.760961104000042,8,87.5,True,10,34,1.5,70,30,0.05,0.2,2,4,4
EOSUSDT,30min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,1.2465989960000146,3,100.0,True,8,32,1.5,65,35,0.05,0.2,5,4,5
EOSUSDT,30min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,-2.948100720000024,1,0.0,True,8,34,1.5,60,20,0.15,0.3,3,4,5
EOSUSDT,30min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-5.640564528000014,3,33.33333333333333,True,12,32,2.0,60,35,0.2,0.15,4,4,3
EOSUSDT,30min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,1.296761015999981,2,50.0,True,20,34,1.5,60,30,0.05,0.2,4,4,4
EOSUSDT,30min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,True,18,38,1.5,60,30,0.08,0.1,3,8,1
EOSUSDT,30min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.05765732799998258,2,50.0,True,10,34,1.5,75,30,0.08,0.2,8,4,2
EOSUSDT,30min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.11069094399998036,1,0.0,True,22,32,1.8,60,20,0.08,0.1,2,8,5
EOSUSDT,30min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-0.6658271360000079,1,0.0,True,16,32,2.2,75,15,0.08,0.25,2,5,5
EOSUSDT,30min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,True,10,26,1.5,80,15,0.15,0.15,3,9,3
EOSUSDT,30min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,True,14,26,1.5,60,30,0.15,0.1,2,7,1
EOSUSDT,30min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,-0.03999974400001882,1,0.0,True,8,12,2.0,80,35,0.12,0.15,2,8,2
EOSUSDT,30min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,True,10,38,2.0,75,25,0.15,0.3,7,6,5
EOSUSDT,30min,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.2969052799999936,1,100.0,True,20,38,1.5,80,20,0.08,0.25,2,4,3
EOSUSDT,30min,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,True,16,38,1.5,60,35,0.2,0.25,3,4,5
EOSUSDT,30min,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.047143108000002876,1,100.0,True,14,36,1.8,60,30,0.1,0.15,3,4,1
EOSUSDT,30min,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,0.0,0,0,True,10,36,1.5,60,25,0.08,0.25,3,4,3
EOSUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.3994200560000216,1,100.0,True,12,38,2.0,75,30,0.12,0.15,5,4,5
EOSUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,-5.003704435999989,4,50.0,True,26,38,1.5,60,30,0.15,0.1,7,4,1
EOSUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-1.7893299359999615,3,66.66666666666666,True,26,38,1.8,70,25,0.15,0.3,2,5,2
EOSUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,7.280794016000058,3,100.0,True,10,24,2.2,60,15,0.08,0.3,2,4,2
EOSUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,2.030088320000023,1,100.0,True,10,36,1.8,65,15,0.08,0.25,4,5,1
EOSUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-0.3658037759999955,1,0.0,True,14,38,1.5,75,25,0.1,0.3,2,6,4
