Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
EOSUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-0.751005423999962,4,25.0,True,18,34,1.5,60,35,0.2,0.3,2,4,3
EOSUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,10,36,1.5,80,35,0.15,0.25,2,5,4
EOSUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,True,10,34,1.8,75,30,0.12,0.2,2,6,3
EOSUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,2.585587447999993,2,50.0,True,8,16,2.2,60,35,0.1,0.3,2,5,5
EOSUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,2.2448520880000045,3,66.66666666666666,True,8,22,1.5,70,35,0.08,0.2,4,4,1
EOSUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,True,10,18,2.5,65,35,0.05,0.1,2,8,3
EOSUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-8.541713823999997,1,0.0,True,12,16,3.0,70,25,0.05,0.15,2,10,2
EOSUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,4.988152136000035,1,100.0,True,8,38,1.8,70,25,0.2,0.1,2,9,1
EOSUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,True,8,36,2.5,75,35,0.12,0.1,2,4,1
EOSUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,True,22,28,1.5,70,25,0.05,0.15,2,7,5
EOSUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,-0.1801242560000027,1,0.0,True,28,36,2.2,60,25,0.12,0.1,2,8,3
EOSUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,True,12,36,1.8,70,15,0.12,0.15,2,4,4
