Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
SUIUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-17.881568693200013,3,66.66666666666666,True,10,38,1.5,80,30,0.15,0.25,2,4,5
SUIUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.7274254816000303,2,100.0,True,8,18,1.8,65,35,0.15,0.15,3,4,3
SUIUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,8,26,2.0,70,35,0.08,0.25,3,5,5
SUIUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,True,22,18,1.8,60,30,0.2,0.25,10,4,3
SUIUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,6.0809599116000035,1,100.0,True,10,26,2.2,65,20,0.2,0.25,2,4,3
SUIUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-0.5015311279999879,1,0.0,True,14,20,2.0,75,35,0.05,0.2,2,4,3
SUIUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,1.8207203820000073,1,100.0,True,18,26,1.8,80,35,0.05,0.1,3,4,3
SUIUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-7.728058936399995,2,50.0,True,24,26,1.5,65,35,0.12,0.15,2,6,1
SUIUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,10,14,1.5,75,35,0.08,0.25,7,4,3
SUIUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,-1.484472920400004,1,0.0,True,8,32,1.5,70,35,0.12,0.3,3,5,2
SUIUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,True,16,22,1.5,60,20,0.08,0.1,8,4,1
SUIUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.9197850695999765,2,100.0,True,8,34,1.5,70,30,0.2,0.15,12,4,1
SUIUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,1.7270808571999918,1,100.0,True,8,28,1.5,80,30,0.2,0.1,3,4,5
