Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
ADAUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,0.8134121087999935,3,100.0,True,18,32,1.8,65,30,0.05,0.2,13,5,2
ADAUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,True,14,32,2.0,70,35,0.05,0.3,6,4,2
ADAUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,12,34,2.0,60,35,0.12,0.15,2,7,3
ADAUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,True,10,28,3.0,60,35,0.12,0.3,7,4,2
ADAUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,4.94111613479995,4,100.0,True,14,38,1.5,65,35,0.15,0.2,6,4,4
ADAUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,True,22,38,2.0,65,25,0.05,0.2,3,4,1
ADAUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,0.0,0,0,True,8,34,1.8,60,35,0.2,0.2,3,4,2
ADAUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-10.564911578000025,2,50.0,True,10,32,1.5,60,30,0.05,0.2,2,4,3
ADAUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,18,16,2.2,70,35,0.12,0.1,3,7,2
ADAUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,True,8,22,1.8,80,30,0.2,0.15,2,12,4
ADAUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,0.0,0,0,True,16,22,1.5,75,35,0.12,0.3,2,12,5
ADAUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.0,0,0,True,12,22,1.8,75,35,0.15,0.2,2,11,3
ADAUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,True,18,10,1.8,75,35,0.08,0.2,2,8,2
ADAUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.0,0,0,True,22,20,1.5,70,30,0.08,0.25,4,9,2
