Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),OOS Valid,param_len_rsi,param_bb_len,param_bb_mult,param_rsi_upper,param_rsi_lower,param_long_tp,param_long_sl,param_pyramiding,param_initial_percent,param_percent_step
LTCUSDT,1H,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,-0.0470918400000131,1,0.0,True,12,24,1.5,80,35,0.05,0.3,12,4,2
LTCUSDT,1H,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,0.0,0,0,True,14,26,1.5,70,35,0.08,0.3,1,4,4
LTCUSDT,1H,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0,True,8,12,2.0,80,35,0.15,0.25,1,4,5
LTCUSDT,1H,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,0.0,0,0,True,18,38,1.8,75,35,0.1,0.25,1,4,2
LTCUSDT,1H,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,0.0,0,0,True,22,38,3.0,60,20,0.05,0.2,1,9,4
LTCUSDT,1H,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,0.0,0,0,True,18,36,1.5,70,25,0.2,0.1,1,4,1
LTCUSDT,1H,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,3.2136107200000374,4,100.0,True,8,32,1.5,75,30,0.05,0.3,7,4,1
LTCUSDT,1H,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-12.573271920000007,1,0.0,True,8,24,1.5,70,35,0.1,0.25,1,5,3
LTCUSDT,1H,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,0.0,0,0,True,10,18,1.5,80,35,0.05,0.15,2,4,1
LTCUSDT,1H,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,0.0,0,0,True,8,32,1.5,60,30,0.12,0.25,1,4,4
LTCUSDT,1H,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,1.558815400000002,1,100.0,True,8,26,2.0,70,30,0.15,0.1,2,4,1
LTCUSDT,1H,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,0.3428779199999843,1,100.0,True,12,32,1.5,75,25,0.1,0.1,3,4,2
LTCUSDT,1H,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,0.0,0,0,True,12,22,1.5,70,15,0.1,0.3,1,4,1
LTCUSDT,1H,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,0.5494754400000135,1,100.0,True,24,18,2.0,60,35,0.05,0.15,2,5,1
LTCUSDT,1H,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,0.0,0,0,True,24,34,2.5,65,25,0.1,0.3,2,4,3
LTCUSDT,1H,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,1.3673289199999994,1,100.0,True,16,34,1.8,70,30,0.05,0.15,2,4,2
LTCUSDT,1H,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0,True,24,34,2.2,80,35,0.08,0.25,2,5,2
LTCUSDT,1H,18,2024-06-03,2024-08-26,2024-08-26,2024-09-09,1.4030068799999906,1,100.0,True,16,32,1.5,70,25,0.15,0.15,2,4,2
LTCUSDT,1H,19,2024-06-17,2024-09-09,2024-09-09,2024-09-23,0.0,0,0,True,12,36,1.8,80,35,0.1,0.1,3,4,1
LTCUSDT,1H,20,2024-07-01,2024-09-23,2024-09-23,2024-10-07,0.0,0,0,True,24,34,2.0,60,35,0.08,0.1,2,7,5
LTCUSDT,1H,21,2024-07-15,2024-10-07,2024-10-07,2024-10-21,-0.3647538399999761,1,0.0,True,12,38,2.0,65,25,0.05,0.25,3,4,5
LTCUSDT,1H,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,0.13492368000000976,1,100.0,True,12,38,1.8,75,35,0.15,0.1,4,4,2
LTCUSDT,1H,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,7.136907040000007,3,100.0,True,16,34,2.0,65,25,0.08,0.15,2,4,1
LTCUSDT,1H,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,-17.74065156000001,2,50.0,True,14,34,2.0,70,30,0.08,0.15,1,4,5
LTCUSDT,1H,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,0.8407411200000103,1,100.0,True,12,16,1.5,70,30,0.08,0.25,5,6,2
LTCUSDT,1H,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,6.392899840000021,2,100.0,True,18,22,1.8,60,25,0.08,0.3,1,4,1
LTCUSDT,1H,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,0.0,0,0,True,26,16,1.5,60,30,0.08,0.25,3,4,2
